indice_tiempo,cer_diario,uva_diario,uvi_diario
2003-01-01,1.4055,,
2003-01-02,1.4058,,
2003-01-03,1.406,,
2003-01-04,1.4062,,
2003-01-05,1.4064,,
2003-01-06,1.4067,,
2003-01-07,1.4068,,
2003-01-08,1.4069,,
2003-01-09,1.4069,,
2003-01-10,1.407,,
2003-01-11,1.4071,,
2003-01-12,1.4072,,
2003-01-13,1.4073,,
2003-01-14,1.4074,,
2003-01-15,1.4075,,
2003-01-16,1.4075,,
2003-01-17,1.4076,,
2003-01-18,1.4077,,
2003-01-19,1.4078,,
2003-01-20,1.4079,,
2003-01-21,1.408,,
2003-01-22,1.4081,,
2003-01-23,1.4081,,
2003-01-24,1.4082,,
2003-01-25,1.4083,,
2003-01-26,1.4084,,
2003-01-27,1.4085,,
2003-01-28,1.4086,,
2003-01-29,1.4087,,
2003-01-30,1.4087,,
2003-01-31,1.4088,,
2003-02-01,1.4089,,
2003-02-02,1.409,,
2003-02-03,1.4091,,
2003-02-04,1.4092,,
2003-02-05,1.4093,,
2003-02-06,1.4094,,
2003-02-07,1.4101,,
2003-02-08,1.4107,,
2003-02-09,1.4114,,
2003-02-10,1.412,,
2003-02-11,1.4127,,
2003-02-12,1.4134,,
2003-02-13,1.414,,
2003-02-14,1.4147,,
2003-02-15,1.4153,,
2003-02-16,1.416,,
2003-02-17,1.4167,,
2003-02-18,1.4173,,
2003-02-19,1.418,,
2003-02-20,1.4186,,
2003-02-21,1.4193,,
2003-02-22,1.42,,
2003-02-23,1.4206,,
2003-02-24,1.4213,,
2003-02-25,1.422,,
2003-02-26,1.4226,,
2003-02-27,1.4233,,
2003-02-28,1.4239,,
2003-03-01,1.4246,,
2003-03-02,1.4252,,
2003-03-03,1.4258,,
2003-03-04,1.4264,,
2003-03-05,1.427,,
2003-03-06,1.4276,,
2003-03-07,1.4278,,
2003-03-08,1.4281,,
2003-03-09,1.4283,,
2003-03-10,1.4286,,
2003-03-11,1.4289,,
2003-03-12,1.4291,,
2003-03-13,1.4294,,
2003-03-14,1.4296,,
2003-03-15,1.4299,,
2003-03-16,1.4302,,
2003-03-17,1.4304,,
2003-03-18,1.4307,,
2003-03-19,1.4309,,
2003-03-20,1.4312,,
2003-03-21,1.4315,,
2003-03-22,1.4317,,
2003-03-23,1.432,,
2003-03-24,1.4322,,
2003-03-25,1.4325,,
2003-03-26,1.4328,,
2003-03-27,1.433,,
2003-03-28,1.4333,,
2003-03-29,1.4336,,
2003-03-30,1.4338,,
2003-03-31,1.4341,,
2003-04-01,1.4343,,
2003-04-02,1.4346,,
2003-04-03,1.4349,,
2003-04-04,1.4352,,
2003-04-05,1.4354,,
2003-04-06,1.4357,,
2003-04-07,1.436,,
2003-04-08,1.4363,,
2003-04-09,1.4365,,
2003-04-10,1.4368,,
2003-04-11,1.4371,,
2003-04-12,1.4374,,
2003-04-13,1.4377,,
2003-04-14,1.4379,,
2003-04-15,1.4382,,
2003-04-16,1.4385,,
2003-04-17,1.4388,,
2003-04-18,1.4391,,
2003-04-19,1.4393,,
2003-04-20,1.4396,,
2003-04-21,1.4399,,
2003-04-22,1.4402,,
2003-04-23,1.4405,,
2003-04-24,1.4407,,
2003-04-25,1.441,,
2003-04-26,1.4413,,
2003-04-27,1.4416,,
2003-04-28,1.4419,,
2003-04-29,1.4421,,
2003-04-30,1.4424,,
2003-05-01,1.4427,,
2003-05-02,1.443,,
2003-05-03,1.4432,,
2003-05-04,1.4435,,
2003-05-05,1.4438,,
2003-05-06,1.444,,
2003-05-07,1.4441,,
2003-05-08,1.4441,,
2003-05-09,1.4441,,
2003-05-10,1.4442,,
2003-05-11,1.4442,,
2003-05-12,1.4442,,
2003-05-13,1.4442,,
2003-05-14,1.4443,,
2003-05-15,1.4443,,
2003-05-16,1.4443,,
2003-05-17,1.4443,,
2003-05-18,1.4444,,
2003-05-19,1.4444,,
2003-05-20,1.4444,,
2003-05-21,1.4444,,
2003-05-22,1.4445,,
2003-05-23,1.4445,,
2003-05-24,1.4445,,
2003-05-25,1.4445,,
2003-05-26,1.4446,,
2003-05-27,1.4446,,
2003-05-28,1.4446,,
2003-05-29,1.4447,,
2003-05-30,1.4447,,
2003-05-31,1.4447,,
2003-06-01,1.4447,,
2003-06-02,1.4448,,
2003-06-03,1.4448,,
2003-06-04,1.4448,,
2003-06-05,1.4448,,
2003-06-06,1.4449,,
2003-06-07,1.4447,,
2003-06-08,1.4445,,
2003-06-09,1.4443,,
2003-06-10,1.4441,,
2003-06-11,1.4439,,
2003-06-12,1.4437,,
2003-06-13,1.4436,,
2003-06-14,1.4434,,
2003-06-15,1.4432,,
2003-06-16,1.443,,
2003-06-17,1.4428,,
2003-06-18,1.4426,,
2003-06-19,1.4424,,
2003-06-20,1.4422,,
2003-06-21,1.4421,,
2003-06-22,1.4419,,
2003-06-23,1.4417,,
2003-06-24,1.4415,,
2003-06-25,1.4413,,
2003-06-26,1.4411,,
2003-06-27,1.4409,,
2003-06-28,1.4407,,
2003-06-29,1.4405,,
2003-06-30,1.4404,,
2003-07-01,1.4402,,
2003-07-02,1.44,,
2003-07-03,1.4398,,
2003-07-04,1.4396,,
2003-07-05,1.4395,,
2003-07-06,1.4393,,
2003-07-07,1.4392,,
2003-07-08,1.4392,,
2003-07-09,1.4392,,
2003-07-10,1.4391,,
2003-07-11,1.4391,,
2003-07-12,1.439,,
2003-07-13,1.439,,
2003-07-14,1.439,,
2003-07-15,1.4389,,
2003-07-16,1.4389,,
2003-07-17,1.4388,,
2003-07-18,1.4388,,
2003-07-19,1.4388,,
2003-07-20,1.4387,,
2003-07-21,1.4387,,
2003-07-22,1.4386,,
2003-07-23,1.4386,,
2003-07-24,1.4386,,
2003-07-25,1.4385,,
2003-07-26,1.4385,,
2003-07-27,1.4384,,
2003-07-28,1.4384,,
2003-07-29,1.4384,,
2003-07-30,1.4383,,
2003-07-31,1.4383,,
2003-08-01,1.4382,,
2003-08-02,1.4382,,
2003-08-03,1.4382,,
2003-08-04,1.4381,,
2003-08-05,1.4381,,
2003-08-06,1.438,,
2003-08-07,1.4383,,
2003-08-08,1.4385,,
2003-08-09,1.4387,,
2003-08-10,1.4389,,
2003-08-11,1.4391,,
2003-08-12,1.4393,,
2003-08-13,1.4395,,
2003-08-14,1.4397,,
2003-08-15,1.4399,,
2003-08-16,1.4401,,
2003-08-17,1.4403,,
2003-08-18,1.4405,,
2003-08-19,1.4407,,
2003-08-20,1.441,,
2003-08-21,1.4412,,
2003-08-22,1.4414,,
2003-08-23,1.4416,,
2003-08-24,1.4418,,
2003-08-25,1.442,,
2003-08-26,1.4422,,
2003-08-27,1.4424,,
2003-08-28,1.4426,,
2003-08-29,1.4428,,
2003-08-30,1.443,,
2003-08-31,1.4432,,
2003-09-01,1.4435,,
2003-09-02,1.4437,,
2003-09-03,1.4439,,
2003-09-04,1.4441,,
2003-09-05,1.4443,,
2003-09-06,1.4445,,
2003-09-07,1.4445,,
2003-09-08,1.4446,,
2003-09-09,1.4446,,
2003-09-10,1.4446,,
2003-09-11,1.4446,,
2003-09-12,1.4446,,
2003-09-13,1.4446,,
2003-09-14,1.4446,,
2003-09-15,1.4446,,
2003-09-16,1.4446,,
2003-09-17,1.4447,,
2003-09-18,1.4447,,
2003-09-19,1.4447,,
2003-09-20,1.4447,,
2003-09-21,1.4447,,
2003-09-22,1.4447,,
2003-09-23,1.4447,,
2003-09-24,1.4447,,
2003-09-25,1.4447,,
2003-09-26,1.4447,,
2003-09-27,1.4448,,
2003-09-28,1.4448,,
2003-09-29,1.4448,,
2003-09-30,1.4448,,
2003-10-01,1.4448,,
2003-10-02,1.4448,,
2003-10-03,1.4448,,
2003-10-04,1.4448,,
2003-10-05,1.4448,,
2003-10-06,1.4448,,
2003-10-07,1.4449,,
2003-10-08,1.4449,,
2003-10-09,1.4449,,
2003-10-10,1.4449,,
2003-10-11,1.4449,,
2003-10-12,1.445,,
2003-10-13,1.445,,
2003-10-14,1.445,,
2003-10-15,1.445,,
2003-10-16,1.445,,
2003-10-17,1.4451,,
2003-10-18,1.4451,,
2003-10-19,1.4451,,
2003-10-20,1.4451,,
2003-10-21,1.4451,,
2003-10-22,1.4452,,
2003-10-23,1.4452,,
2003-10-24,1.4452,,
2003-10-25,1.4452,,
2003-10-26,1.4452,,
2003-10-27,1.4453,,
2003-10-28,1.4453,,
2003-10-29,1.4453,,
2003-10-30,1.4453,,
2003-10-31,1.4453,,
2003-11-01,1.4454,,
2003-11-02,1.4454,,
2003-11-03,1.4454,,
2003-11-04,1.4454,,
2003-11-05,1.4454,,
2003-11-06,1.4455,,
2003-11-07,1.4457,,
2003-11-08,1.446,,
2003-11-09,1.4463,,
2003-11-10,1.4466,,
2003-11-11,1.4469,,
2003-11-12,1.4472,,
2003-11-13,1.4474,,
2003-11-14,1.4477,,
2003-11-15,1.448,,
2003-11-16,1.4483,,
2003-11-17,1.4486,,
2003-11-18,1.4489,,
2003-11-19,1.4491,,
2003-11-20,1.4494,,
2003-11-21,1.4497,,
2003-11-22,1.45,,
2003-11-23,1.4503,,
2003-11-24,1.4506,,
2003-11-25,1.4508,,
2003-11-26,1.4511,,
2003-11-27,1.4514,,
2003-11-28,1.4517,,
2003-11-29,1.452,,
2003-11-30,1.4523,,
2003-12-01,1.4525,,
2003-12-02,1.4528,,
2003-12-03,1.4531,,
2003-12-04,1.4534,,
2003-12-05,1.4536,,
2003-12-06,1.4539,,
2003-12-07,1.454,,
2003-12-08,1.4541,,
2003-12-09,1.4543,,
2003-12-10,1.4544,,
2003-12-11,1.4545,,
2003-12-12,1.4546,,
2003-12-13,1.4547,,
2003-12-14,1.4548,,
2003-12-15,1.4549,,
2003-12-16,1.4551,,
2003-12-17,1.4552,,
2003-12-18,1.4553,,
2003-12-19,1.4554,,
2003-12-20,1.4555,,
2003-12-21,1.4556,,
2003-12-22,1.4558,,
2003-12-23,1.4559,,
2003-12-24,1.456,,
2003-12-25,1.4561,,
2003-12-26,1.4562,,
2003-12-27,1.4563,,
2003-12-28,1.4565,,
