cultivo_id,cultivo_nombre,campania_id,campania_nombre,municipio_id ,municipio_nombre,superficie_sembrada ,superficie_cosechada,produccion,rendimiento
1,Ajo,1,1969/70,060854,25 de Mayo,3,3,10,3333
1,Ajo,1,1969/70,060014,Adolfo Gonzales Chaves,15,15,82,5467
1,Ajo,1,1969/70,060021,Alberti,5,5,7,1400
1,Ajo,1,1969/70,060028,Almirante Brown,2,2,8,4000
1,Ajo,1,1969/70,060077,Arrecifes,6,6,15,2500
1,Ajo,1,1969/70,060042,Ayacucho,5,5,14,2800
1,Ajo,1,1969/70,060056,Bahía Blanca,10,10,40,4000
1,Ajo,1,1969/70,060063,Balcarce,450,450,2025,4500
1,Ajo,1,1969/70,060070,Baradero,5,5,20,4000
1,Ajo,1,1969/70,060084,Benito Juárez,5,5,22,4400
1,Ajo,1,1969/70,060091,Berazategui,3,3,12,4000
1,Ajo,1,1969/70,060098,Berisso,2,2,8,4000
1,Ajo,1,1969/70,060105,Bolívar,2,2,6,3000
1,Ajo,1,1969/70,060119,Brandsen,1,1,3,3000
1,Ajo,1,1969/70,060126,Campana,5,5,21,4200
1,Ajo,1,1969/70,060134,Cañuelas,2,2,7,3500
1,Ajo,1,1969/70,060140,Capitán Sarmiento,3,3,7,2333
1,Ajo,1,1969/70,060161,Carmen de Areco,5,5,6,1200
1,Ajo,1,1969/70,060168,Castelli,1,1,3,3000
1,Ajo,1,1969/70,060210,Chacabuco,7,7,18,2571
1,Ajo,1,1969/70,060218,Chascomús,1,1,3,3000
1,Ajo,1,1969/70,060224,Chivilcoy,30,30,45,1500
1,Ajo,1,1969/70,060175,Colón,5,5,12,2400
1,Ajo,1,1969/70,060182,Coronel de Marina Leonardo Rosales,5,5,20,4000
1,Ajo,1,1969/70,060189,Coronel Dorrego,15,15,83,5533
1,Ajo,1,1969/70,060196,Coronel Pringles,15,15,75,5000
1,Ajo,1,1969/70,060203,Coronel Suárez,2,2,8,4000
1,Ajo,1,1969/70,060238,Dolores,2,2,6,3000
1,Ajo,1,1969/70,060260,Esteban Echeverría,3,3,12,4000
1,Ajo,1,1969/70,060266,Exaltación de la Cruz,1,1,4,4000
1,Ajo,1,1969/70,060274,Florencio Varela,3,3,12,4000
1,Ajo,1,1969/70,060280,General Alvarado,7,7,31,4429
1,Ajo,1,1969/70,060294,General Arenales,2,2,4,2000
1,Ajo,1,1969/70,060301,General Belgrano,1,1,4,4000
1,Ajo,1,1969/70,060315,General Juan Madariaga,2,2,6,3000
1,Ajo,1,1969/70,060322,General La Madrid,1,1,4,4000
1,Ajo,1,1969/70,060357,General Pueyrredón,28,28,126,4500
1,Ajo,1,1969/70,060364,General Rodríguez,10,10,42,4200
1,Ajo,1,1969/70,060413,Junín,3,3,6,2000
1,Ajo,1,1969/70,060427,La Matanza,5,5,20,4000
1,Ajo,1,1969/70,060441,La Plata,4,4,16,4000
1,Ajo,1,1969/70,060448,Laprida,2,2,9,4500
1,Ajo,1,1969/70,060455,Las Flores,5,5,15,3000
1,Ajo,1,1969/70,060476,Lobería,15,15,64,4267
1,Ajo,1,1969/70,060483,Lobos,1,1,4,4000
1,Ajo,1,1969/70,060497,Luján,20,20,80,4000
1,Ajo,1,1969/70,060505,Magdalena,1,1,4,4000
1,Ajo,1,1969/70,060518,Mar Chiquita,1,1,3,3000
1,Ajo,1,1969/70,060525,Marcos Paz,3,3,12,4000
1,Ajo,1,1969/70,060532,Mercedes,25,25,100,4000
1,Ajo,1,1969/70,060539,Merlo,5,5,20,4000
1,Ajo,1,1969/70,060547,Monte,1,1,4,4000
1,Ajo,1,1969/70,060568,Morón,7,7,28,4000
1,Ajo,1,1969/70,060581,Necochea,70,70,315,4500
1,Ajo,1,1969/70,060595,Olavarría,100,100,600,6000
1,Ajo,1,1969/70,060602,Patagones,70,70,315,4500
1,Ajo,1,1969/70,060623,Pergamino,26,26,65,2500
1,Ajo,1,1969/70,060638,Pilar,4,4,16,4000
1,Ajo,1,1969/70,060651,Puán,1,1,4,4000
1,Ajo,1,1969/70,060665,Ramallo,10,10,42,4200
1,Ajo,1,1969/70,060672,Rauch,3,3,8,2667
1,Ajo,1,1969/70,060686,Rojas,5,5,12,2400
1,Ajo,1,1969/70,060700,Saavedra,1,1,5,5000
1,Ajo,1,1969/70,060707,Saladillo,2,2,6,3000
1,Ajo,1,1969/70,060714,Salto,5,5,12,2400
1,Ajo,1,1969/70,060735,San Antonio de Areco,2,2,8,4000
1,Ajo,1,1969/70,060742,San Cayetano,20,20,108,5400
1,Ajo,1,1969/70,060763,San Nicolás,10,10,42,4200
1,Ajo,1,1969/70,060770,San Pedro,15,15,66,4400
1,Ajo,1,1969/70,060778,San Vicente,1,1,4,4000
1,Ajo,1,1969/70,060791,Tandil,33,33,116,3515
1,Ajo,1,1969/70,060819,Tornquist,4,4,14,3500
1,Ajo,1,1969/70,060833,Tres Arroyos,80,80,464,5800
1,Ajo,1,1969/70,060875,Villarino,4055,4055,18000,4439
1,Ajo,1,1969/70,060882,Zárate,5,5,20,4000
3,Alpiste,1,1969/70,060854,25 de Mayo,500,400,240,600
3,Alpiste,1,1969/70,060588,9 de Julio,1000,800,520,650
3,Alpiste,1,1969/70,060014,Adolfo Gonzales Chaves,8000,7850,7850,1000
3,Alpiste,1,1969/70,060021,Alberti,100,80,48,600
3,Alpiste,1,1969/70,060077,Arrecifes,900,750,638,851
3,Alpiste,1,1969/70,060042,Ayacucho,1000,950,760,800
3,Alpiste,1,1969/70,060049,Azul,10000,9000,8100,900
3,Alpiste,1,1969/70,060063,Balcarce,1000,1000,800,800
3,Alpiste,1,1969/70,060070,Baradero,1000,900,720,800
3,Alpiste,1,1969/70,060084,Benito Juárez,5000,4900,5390,1100
3,Alpiste,1,1969/70,060105,Bolívar,800,650,260,400
3,Alpiste,1,1969/70,060140,Capitán Sarmiento,500,400,340,850
3,Alpiste,1,1969/70,060147,Carlos Casares,1500,1200,600,500
3,Alpiste,1,1969/70,060161,Carmen de Areco,200,180,153,850
3,Alpiste,1,1969/70,060210,Chacabuco,900,700,560,800
3,Alpiste,1,1969/70,060224,Chivilcoy,150,140,84,600
3,Alpiste,1,1969/70,060175,Colón,700,600,480,800
3,Alpiste,1,1969/70,060189,Coronel Dorrego,2000,1950,1365,700
3,Alpiste,1,1969/70,060196,Coronel Pringles,1400,1370,1370,1000
3,Alpiste,1,1969/70,060203,Coronel Suárez,500,450,450,1000
3,Alpiste,1,1969/70,060266,Exaltación de la Cruz,400,380,247,650
3,Alpiste,1,1969/70,060280,General Alvarado,400,400,340,850
3,Alpiste,1,1969/70,060287,General Alvear,150,120,66,550
3,Alpiste,1,1969/70,060294,General Arenales,400,400,280,700
3,Alpiste,1,1969/70,060301,General Belgrano,1000,900,720,800
3,Alpiste,1,1969/70,060322,General La Madrid,3000,2700,2700,1000
3,Alpiste,1,1969/70,060351,General Pinto,250,250,240,960
3,Alpiste,1,1969/70,060357,General Pueyrredón,150,150,128,853
3,Alpiste,1,1969/70,060364,General Rodríguez,100,100,70,700
3,Alpiste,1,1969/70,060413,Junín,400,400,240,600
3,Alpiste,1,1969/70,060448,Laprida,10000,9800,9800,1000
3,Alpiste,1,1969/70,060455,Las Flores,350,315,284,902
3,Alpiste,1,1969/70,060476,Lobería,10000,10000,8000,800
3,Alpiste,1,1969/70,060483,Lobos,800,760,532,700
3,Alpiste,1,1969/70,060497,Luján,250,220,143,650
3,Alpiste,1,1969/70,060518,Mar Chiquita,100,100,70,700
3,Alpiste,1,1969/70,060532,Mercedes,200,180,126,700
3,Alpiste,1,1969/70,060547,Monte,200,170,119,700
3,Alpiste,1,1969/70,060581,Necochea,9000,8850,9735,1100
3,Alpiste,1,1969/70,060595,Olavarría,10000,8800,7920,900
3,Alpiste,1,1969/70,060623,Pergamino,3700,3200,2560,800
3,Alpiste,1,1969/70,060638,Pilar,100,100,70,700
3,Alpiste,1,1969/70,060665,Ramallo,800,750,637,849
3,Alpiste,1,1969/70,060672,Rauch,500,475,380,800
3,Alpiste,1,1969/70,060686,Rojas,1000,850,680,800
3,Alpiste,1,1969/70,060693,Roque Pérez,1000,900,540,600
3,Alpiste,1,1969/70,060714,Salto,1100,900,765,850
3,Alpiste,1,1969/70,060728,San Andrés de Giles,300,270,189,700
