incendio_anio incendio_total_numero incendio_negligencia_numero incendio_intencional_numero incendio_natural_numero incendio_desconocida_numero
1993 0 0 0 0 0
1994 38 29 0 0 9
1995 11 3 0 0 8
1996 62 57 2 2 1
1997 114 16 80 4 14
1998 84 39 7 9 29
1999 100 45 27 21 7
2000 37 23 6 4 4
2001 39 17 4 2 16
2002 86 5 3 38 40
2003 22 6 1 1 14
2004 43 6 1 12 24
2005 61 6 2 5 48
2006 50 11 10 3 26
2007 59 3 21 3 32
2008 58 2 6 6 44
2009 31 5 4 1 21
2010 22 3 0 7 12
2011 12 1 0 4 7
2012 8 4 1 0 3
2013 21 7 9 0 5
2014 17 2 2 1 12
2015 31 1 2 10 18
2016 41 4 10 8 19
2017 48 12 26 4 6
2018 70 6 41 3 20
2019 49 11 34 0 4
2020 50 4 34 6 6
2021 42 4 0 2 36
