,id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,habitaciones,dormitorios,baños,sup_total,sup_cubierta,precio,moneda,price_period,título,tipo_propiedad,tipo_operac
147,BmRsOck/zZ0V11R0SkOQyQ==,Propiedad,2020-05-09,2020-05-23,2020-05-09,-34.56857681,-58.49028015,Argentina,Capital Federal,Villa Urquiza,,,,,,1.0,38.0,32.0,15000.0,ARS,,Quesada  5100 6°  - $ 15.000 - Departamento Alquiler,Departamento,Alquiler
895,/nEjLih7yp7XrV89xgZtdg==,Propiedad,2020-05-09,2020-08-20,2020-05-09,-34.5839686,-58.4756756,Argentina,Capital Federal,Villa Urquiza,,,,1.0,1.0,1.0,45.0,31.0,99000.0,USD,Mensual,Hermoso monoambiente en Villa Urquiza!!!,Departamento,Venta
896,8PD4lYgBomBvBj89HZXjew==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.58008194,-58.480896,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,62.0,45.0,158000.0,USD,,La Pampa Al  5100 - U$D 158.000 - Departamento en Venta,Departamento,Venta
897,Hu+uveYWZg5tPi+qlpa7eQ==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.58008194,-58.480896,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,54.0,45.0,137000.0,USD,,La Pampa Al  5100 - U$D 137.000 - Departamento en Venta,Departamento,Venta
898,xtkPGFK6W8yUwwXDRGohFw==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.57764435,-58.47227097,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,73.0,55.0,170000.0,USD,,Mariano Acha Al  1600 - U$D 170.000 - Departamento en Venta,Departamento,Venta
1087,vWPFLfk5fQ66Zz5XoQyzgg==,Propiedad,2020-05-09,9999-12-31,2020-05-09,-34.5661444,-58.4964289,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,1.0,,51.0,110000.0,USD,Mensual,Hermoso departamento 2 ambientes en Villa Urquiza!!!,Departamento,Venta
1088,ZiOtCwYN5rr8eAme2sJxuA==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.56949234,-58.48693466,Argentina,Capital Federal,Villa Urquiza,,,,2.0,,2.0,80.0,72.0,275000.0,USD,,Pacheco  2800 - U$D 275.000 - Departamento en Venta,Departamento,Venta
1089,/STHvaVNCl3nEDklpAuwlA==,Propiedad,2020-05-09,9999-12-31,2020-05-09,-34.5788968,-58.4838738,Argentina,Capital Federal,Villa Urquiza,,,,2.0,1.0,1.0,47.0,47.0,99000.0,USD,Mensual,Divino departamento 2 ambientes en Villa Urquiza!!!,Departamento,Venta
1311,YTmtAMZ3uv8fdp9zLqWhzw==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.56949234,-58.48693466,Argentina,Capital Federal,Villa Urquiza,,,,3.0,,1.0,146.0,130.0,520000.0,USD,,Pacheco  2800 - U$D 520.000 - Departamento en Venta,Departamento,Venta
1312,egkbwknnBUjpQdVVZORTiQ==,Propiedad,2020-05-09,2020-05-20,2020-05-09,-34.58008194,-58.480896,Argentina,Capital Federal,Villa Urquiza,,,,3.0,,1.0,155.0,140.0,550000.0,USD,,La Pampa Al  5100 - U$D 550.000 - Departamento en Venta,Departamento,Venta
1879,ZLZed9RXef0hC5JO7H6NAA==,Propiedad,2019-12-23,2020-01-21,2019-12-23,-34.565388,-58.481374,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,47.0,47.0,164000.0,USD,,MAMBIENTE VENTA A ESTRENAR AMENITIES V. URQUIZA,Departamento,Venta
1880,CrktrKvxnD/8S9rCZPUE4A==,Propiedad,2019-12-23,2020-10-03,2019-12-23,-34.575388,-58.484156,Argentina,Capital Federal,Villa Urquiza,,,,1.0,,1.0,42.0,36.0,160000.0,USD,,"Dpto. 3 amb a estrenar con Piscina, SUM- Villa Urq",Departamento,Venta
2098,cOFFPWhKUDbwdo6v3h1Vrg==,Propiedad,2019-12-23,2020-02-13,2019-12-23,-34.5762938,-58.486225,Argentina,Capital Federal,Villa Urquiza,,,,3.0,,1.0,94.0,77.0,28000.0,ARS,Mensual,Departamento 3 ambientes con dependencia - Villa Urquiza,Departamento,Alquiler
