FECHA,TMAX,TMIN,NOMBRE
10032023,33.1,25.1,AEROPARQUE AERO
10032023,27.4,16.7,AZUL AERO
10032023,29.4,15.6,BAHIA BLANCA AERO
10032023,20.9,10.5,BARILOCHE AERO
10032023,-11.9,-18.5,BASE BELGRANO II
10032023,7.2,2.2,BASE CARLINI (EX JUBANY)
10032023,2.8,-0.2,BASE ESPERANZA
10032023,1.5,-1.2,BASE MARAMBIO
10032023,1.2,-1.6,BASE ORCADAS
10032023,1.1,-4.2,BASE SAN MARTIN
10032023,25.4,15.6,BENITO JUAREZ AERO
10032023,29,19,BERNARDO DE IRIGOYEN AERO
10032023,32.3,17.9,BOLIVAR AERO
10032023,36.8,26,BUENOS AIRES OBSERVATORIO
10032023,,24,CAMPO DE MAYO AERO
10032023,38.8,24.4,CATAMARCA AERO
10032023,37.8,21.6,CERES AERO
10032023,36.4,23.4,CHAMICAL AERO
10032023,23.7,10,CHAPELCO AERO
10032023,35.5,23,CHEPES
10032023,,22.1,CHILECITO AERO
10032023,33.4,15.6,CIPOLLETTI
10032023,25.2,15.2,COMODORO RIVADAVIA AERO
10032023,38.2,25.1,CONCORDIA AERO
10032023,36.6,15.6,CORDOBA AERO
10032023,37.4,21.2,CORDOBA OBSERVATORIO
10032023,26.7,16.5,CORONEL PRINGLES AERO
10032023,27.3,16.9,CORONEL SUAREZ AERO
10032023,34.6,23.2,CORRIENTES AERO
10032023,31.2,18.7,DOLORES AERO
10032023,22.6,12.1,EL BOLSON AERO
10032023,18.9,10.2,EL CALAFATE AERO
10032023,38.6,25.7,EL PALOMAR AERO
10032023,,20.5,EL TREBOL
10032023,35.5,17.5,ESCUELA DE AVIACION MILITAR AERO
10032023,22.2,,ESQUEL AERO
10032023,39.4,24.8,EZEIZA AERO
10032023,36,21.3,FORMOSA AERO
10032023,32,18,GENERAL PICO AERO
10032023,21.2,10,GOBERNADOR GREGORES AERO
10032023,39.1,24.2,GUALEGUAYCHU AERO
10032023,31.8,19.2,IGUAZU AERO
10032023,34.5,22,ITUZAINGO
10032023,32.5,21,JACHAL
10032023,34.5,18.9,JUJUY AERO
10032023,31.8,16.2,JUJUY U N
10032023,37.6,20,JUNIN AERO
10032023,36.7,24.4,LA PLATA AERO
10032023,22,6.4,LA QUIACA OBSERVATORIO
10032023,37.5,25.4,LA RIOJA AERO
10032023,34.5,18.9,LABOULAYE AERO
10032023,33.5,18.5,LAS FLORES
10032023,34.2,21.6,LAS LOMITAS
10032023,27.3,13.8,MALARGUE AERO
10032023,28.2,7.5,MAQUINCHAO
10032023,25.4,17.8,MAR DEL PLATA AERO
10032023,37.8,18.2,MARCOS JUAREZ AERO
10032023,38.5,,MARIANO MORENO AERO
10032023,29.3,21,MENDOZA AERO
10032023,27.7,21.5,MENDOZA OBSERVATORIO
10032023,36.2,24,MERCEDES AERO (CTES)
10032023,,25.8,MERLO AERO
10032023,31.5,19.5,METAN
10032023,,24.4,MONTE CASEROS AERO
10032023,38.7,25.9,MORON AERO
10032023,32.8,13.3,NEUQUEN AERO
10032023,35.7,19.2,NUEVE DE JULIO
10032023,35,21,OBERA
10032023,26.6,16.5,OLAVARRIA AERO
10032023,36.2,22.4,ORAN AERO
10032023,37.6,23,PARANA AERO
10032023,25.5,7.7,PASO DE INDIOS
10032023,36.9,23.7,PASO DE LOS LIBRES AERO
10032023,33.2,19.2,PEHUAJO AERO
10032023,,10.5,PERITO MORENO AERO
10032023,27.8,16,PIGUE AERO
10032023,36.7,20,PILAR OBSERVATORIO
10032023,33.6,22.9,POSADAS AERO
10032023,35,21.5,PRESIDENCIA ROQUE SAENZ PEÑA AERO
10032023,25.2,8.8,PUERTO DESEADO AERO
10032023,26.4,11.6,PUERTO MADRYN AERO
10032023,28.5,22.5,PUNTA INDIO B.A.
10032023,,20.5,RAFAELA AERO
10032023,35.8,24.3,RECONQUISTA AERO
10032023,34,21.4,RESISTENCIA AERO
10032023,31.4,15.8,RIO COLORADO
10032023,31,18.2,RIO CUARTO AERO
10032023,23.9,8.5,RIO GALLEGOS AERO
10032023,17.5,7,RIO GRANDE B.A.
10032023,36.5,22.8,RIVADAVIA
10032023,38.6,21.3,ROSARIO AERO
10032023,31,15.4,SALTA AERO
10032023,31.6,12.6,SAN ANTONIO OESTE AERO
10032023,30,17.9,SAN CARLOS (MZA)
10032023,37,24.6,SAN FERNANDO AERO
10032023,32.6,22,SAN JUAN AERO
10032023,22.5,11.2,SAN JULIAN AERO
